cod,nome,cod_depto
CDT1101,TECNOLOGIA SOCIAL E INOVAÇÃO,643
CDS0004,AGRICULTURA E MEIO AMBIENTE,640
CDS0007,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,640
CDS0008,"MEIO AMBIENTE, CULTURA E SOCIEDADE",640
CDS0010,TRABALHO INTERDISCIPLINAR INTEGRADO 1,640
CDS0011,SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,640
CDS0012,POLÍTICAS PÚBLICAS E MEIO AMBIENTE,640
CDS0013,POPULAÇÃO E MEIO AMBIENTE,640
CDS0015,INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL,640
CDS0016,EDUCAÇÃO E MEIO AMBIENTE,640
CDS0019,PRÁTICA DE PESQUISA 1,640
CDS0032,ESTUDOS DOS SISTEMAS AGRÁRIOS,640
CDS0035,COMUNICAÇÃO SOCIOAMBIENTAL,640
CET0001,PLANEJAMENTO E GESTÃO EM TURISMO 1,314
CET0002,LEGISLAÇÃO TURÍSTICA,314
CET0005,PLANEJAMENTO E GESTÃO EM TURISMO 2,314
CET0006,FUNDAMENTOS DE ESTATÍSTICA APLICADO AO TURISMO,314
CET0007,PROJETO INTEGRADOR EM TURISMO 3,314
CET0012,ENOTURISMO,314
CET0013,PESQUISA EM TURISMO,314
CET0014,ESTRUTURAÇÃO E PROMOÇÃO DE DESTINOS,314
CET0022,ELABORAÇAO DE PROJETOS EM TURISMO,314
CET0032,SEMINÁRIOS EM TURISMO 4,314
CET0035,SEMINÁRIOS EM TURISMO 5,314
CET0036,SEMINÁRIOS EM TURISMO 6,314
CET0037,SEMINÁRIOS EM TURISMO 7,314
CET0038,ESTUDO DO TURISMO 1,314
CET0039,SUSTENTABILIDADE ÉTICA E TURISMO,314
CET0040,ESTUDO DO TURISMO 2,314
CET0041,CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO,314
CET0042,PROJETO INTEGRADOR EM TURISMO 1,314
CET0043,ESTUDO DO TURISMO 3,314
CET0044,COMUNICAÇÃO NO TURISMO,314
CET0045,ESTRUTURAS DE SUPORTE AO TURISMO,314
CET0046,SEMINÁRIOS EM TURISMO 1,314
CET0050,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0051,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0052,EQUIPAMENTOS E SERVIÇOS TURISTICOS-AGENCIAMENTO OPERAÇÃO E TRANSPORTE,314
CET0053,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0054,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0055,PROJETO INTEGRADOR EM TURISMO 2,314
CET0091,ESCRIVIVENDO PELO E COM O TURISMO,314
CEM0004,AS ORIGENS DO PENSAMENTO OCIDENTAL,650
CEM0005,DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR,650
CEM0015,"UNIVERSIDADE, SOCIEDADE E ESTADO",650
CEM0018,LAYA YOGA,650
CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,650
CEM0022,ESTUDOS AMAZÔNICOS,650
CEM0023,APRENDIZAGEM E DESENVOLVIMENTO MOTOR HUMANO 2,650
CEM0043,CULTURA PODER E RELAÇÕES RACIAIS,650
CEM0047,TÓPICOS ESPECIAIS SOBRE A AMAZÔNIA,650
CEM0051,PROMOÇÃO DA SAÚDE 3,650
CEM0054,INTRODUÇÃO A GESTÃO AMBIENTAL,650
CEM0056,PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL,650
CEM0058,DIREITOS DA CRIANCA E DO ADOLESCENTE,650
CEM0068,INTRODUÇÃO À GERONTOLOGIA,650
CEM0088,CIÊNCIA E TECNOLOGIA PARA O DESENVOLVIMENTO SUSTENTÁVEL 1,650
CEM0110,AGRICULTURA ALTERNATIVA,650
CEM0117,PENSAMENTO LGBT BRASILEIRO,650
CEM0125,"HISTÓRIA E CINEMA: PERSPECTIVAS DOS FEMINISMOS NEGROS, DECOLONIAIS E INTERSECCIONAIS",650
CEM0129,"ESTUDOS DISCURSIVOS CRÍTICOS, CORPOS E INTERSECCIONALIDADES",650
CEM0132,EXPERIÊNCIAS HISTÓRICAS DE REFORMA AGRÁRIA NO MUNDO,650
CEM0133,MULHERES INSPIRADORAS: PERSPECTIVAS CRÍTICAS PARA A EDUCAÇÃO EM DIREITOS HUMANOS,650
CEM0134,EDUCAÇÃO E DESIGUALDADES SOCIAIS,650
CEM0135,RELIGIÃO E POLÍTICA NA AMÉRICA LATINA,650
CEM0136,A ORIGEM DA VIDA,650
CEM0137,HÁBITOS DE INOVAÇÃO SUSTENTÁVEL,650
CEM0138,INTRODUÇÃO A ANÁLISE DE CICLO DE VIDA,650
CEM0139,TERAPIA TRANSESSENCIAL COMO PRÁTICA MULTIDISCIPLINAR NO CUIDADO À SAÚDE: BASES E PRINCÍPIOS CIENTÍFICOS E FILOSÓFICOS,650
CEM1102,FUNDAMENTOS DO BUDISMO ORIGINAL,650
CBH0002,BIOÉTICA E BIOTECNOCIÊNCIAS,1448
DPG0025,REPRESENTAÇÃO DE GRUPOS 1,170
DPG0155,RESISTÊNCIA AO CISALHAMENTO DOS SOLOS,170
DPG0187,SINTAXE,170
DPG0271,CINÉTICA E PROCESSOS CATALÍTICOS MOLECULARES,170
DPG0289,TÓPICOS EM PSICOLOGIA DE DESENVOLVIMENTO 2,170
DPG0341,"TRADUÇÃO, LÍNGUA E CULTURA",170
DPG0364,TEORIA DAS ESTRUTURAS LAMINARES,170
DPG0434,CONTROLE DE SISTEMAS MECÂNICOS,170
DPG0456,MECÂNICA DAS ROCHAS,170
DPG0479,TÓPICOS EM TEORIA DOS NÚMEROS,170
DPG0597,PLANEJAMENTO DE PESQUISA EM PSICOLOGIA,170
DPG0677,PROTEÇÃO DE SISTEMAS ELÉTRICOS,170
DPG0786,PROCESSOS ESTOCÁSTICOS,170
DPG0878,MÉTODOS ESTATÍSTICOS EM GEOTECNIA,170
DPG0890,TÓPICOS ESPECIAIS EM TEORIA DA LITERATURA,170
DPG0928,MORFOLOGIA,170
DPG1068,TÓPICOS EM TELECOMUNICAÇÕES 2,170
DPG1081,ABORDAGENS DE ENSINO DE LÍNGUAS,170
DPG1124,TÉCNICAS COMPUTACIONAIS EM ESTATÍSTICA,170
DPG1153,ESTÉTICA MARXISTA,170
