turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
01,2023.1,JONATHAS FELIPE AIRES FERREIRA (30h),6T2345 (28/03/2023 - 25/07/2023),22,50,CDT - Sala Interação,CDT1101,643
01,2023.1,TANIA CRISTINA DA SILVA CRUZ (30h),6T2345 (28/03/2023 - 25/07/2023),22,50,CDT - Sala Interação,CDT1101,643
01,2023.1,LAURA ANGELICA FERREIRA DARNET (60h),35T23,28,30,ICC AT 114/18,CDS0004,640
01,2023.1,ALEXANDRE BETINARDI STRAPASSON (60h),35N34,36,40,BSA S BT 54/13,CDS0007,640
01,2023.1,CRISTIANE GOMES BARRETO (60h),35N34,36,40,BSA S BT 54/13,CDS0007,640
03,2023.1,MAURO GUILHERME MAIDANA CAPPELLARO (60h),36N12,27,29,ENM - DT 11/15 - Auditório,CDS0007,640
04,2023.1,ADRILANE BATISTA DE OLIVEIRA (60h),36N12,24,25,ENM - DT 11/15 - Auditório,CDS0007,640
01,2023.1,MONICA CELEIDA RABELO NOGUEIRA (60h),35N34,28,40,3N34(BSA S B1 47/10) 5N34(BSA S B1 19/10),CDS0008,640
01,2023.1,JESSICA PEREIRA GARCIA (30h),6N34,13,30,BSA S BT 26/13,CDS0010,640
01,2023.1,DIEGO PEREIRA LINDOSO (30h),6N34,13,30,BSA S BT 26/13,CDS0010,640
01,2023.1,FREDERIC ADELIN GEORGES MERTENS (60h),2T2345,13,25,CDS - Sala Araticum,CDS0011,640
02,2023.1,DIEGO PEREIRA LINDOSO (60h),35N34,23,30,BSA S B2 34/13,CDS0012,640
02,2023.1,MAURO GUILHERME MAIDANA CAPPELLARO (60h),35N34,23,30,BSA S B2 34/13,CDS0012,640
01,2023.1,STEPHANIE CAROLINE NASUTI (60h),35N12,16,25,BSA S B2 33/9,CDS0013,640
01,2023.1,DIEGO PEREIRA LINDOSO (60h),35N12,8,25,ICC AT 091/8,CDS0015,640
