cod,nome,cod_depto
CDT1101,TECNOLOGIA SOCIAL E INOVAÇÃO,643
CDS0001,PLANEJAMENTO E AVALIAÇÃO SOCIOAMBIENTAL,640
CDS0007,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,640
CDS0008,"MEIO AMBIENTE, CULTURA E SOCIEDADE",640
CDS0010,TRABALHO INTERDISCIPLINAR INTEGRADO 1,640
CDS0011,SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,640
CDS0012,POLÍTICAS PÚBLICAS E MEIO AMBIENTE,640
CDS0014,TEORIAS DO DESENVOLVIMENTO,640
CDS0015,INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL,640
CDS0016,EDUCAÇÃO E MEIO AMBIENTE,640
CET0001,PLANEJAMENTO E GESTÃO EM TURISMO 1,314
CET0002,LEGISLAÇÃO TURÍSTICA,314
CET0005,PLANEJAMENTO E GESTÃO EM TURISMO 2,314
CET0006,FUNDAMENTOS DE ESTATÍSTICA APLICADO AO TURISMO,314
CET0007,PROJETO INTEGRADOR EM TURISMO 3,314
CET0012,ENOTURISMO,314
CET0013,PESQUISA EM TURISMO,314
CET0014,ESTRUTURAÇÃO E PROMOÇÃO DE DESTINOS,314
CET0015,SEMINÁRIOS EM TURISMO 3,314
CET0018,TURISMO RURAL,314
CET0022,ELABORAÇAO DE PROJETOS EM TURISMO,314
CET0036,SEMINÁRIOS EM TURISMO 6,314
CET0037,SEMINÁRIOS EM TURISMO 7,314
CET0038,ESTUDO DO TURISMO 1,314
CET0039,SUSTENTABILIDADE ÉTICA E TURISMO,314
CET0040,ESTUDO DO TURISMO 2,314
CET0041,CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO,314
CET0042,PROJETO INTEGRADOR EM TURISMO 1,314
CET0043,ESTUDO DO TURISMO 3,314
CET0044,COMUNICAÇÃO NO TURISMO,314
CET0045,ESTRUTURAS DE SUPORTE AO TURISMO,314
CET0046,SEMINÁRIOS EM TURISMO 1,314
CET0050,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0051,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0052,EQUIPAMENTOS E SERVIÇOS TURISTICOS-AGENCIAMENTO OPERAÇÃO E TRANSPORTE,314
CET0053,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0054,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0055,PROJETO INTEGRADOR EM TURISMO 2,314
CET0090,TRABALHO E EMPREGO NO TURISMO,314
CET0091,ESCRIVIVENDO PELO E COM O TURISMO,314
CEM0005,DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR,650
CEM0007,SAÚDE DIREITOS HUMANOS E ANTROPOLOGIA,650
CEM0009,GESTÃO E INOVAÇÃO DE PROCESSOS CRÍTICOS EM ORGANIZAÇÃO DE SERVIÇO,650
CEM0015,"UNIVERSIDADE, SOCIEDADE E ESTADO",650
CEM0018,LAYA YOGA,650
CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,650
CEM0031,Módulo 2,650
CEM0032,Módulo 3: Metodologia de Pesquisa: Ação-Reflexão-Ação,650
CEM0033,Módulo 4,650
CEM0034,Módulo 5,650
CEM0035,Módulo 6,650
CEM0051,PROMOÇÃO DA SAÚDE 3,650
CEM0054,INTRODUÇÃO A GESTÃO AMBIENTAL,650
CEM0056,PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL,650
CEM0063,"VIOLÊNCIA, SEGURANÇA E CIDADANIA",650
CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,650
CEM0077,"DISCURSO, GENERO, SOCIAL E LETRAMENTO",650
CEM0083,INTEGRAÇÃO NO MERCOSUL,650
CEM0097,DIREITOS HUMANOS E CIDADANIA,650
CEM0110,AGRICULTURA ALTERNATIVA,650
CEM0116,SAÚDE INTERNACIONAL,650
CEM0123,DECOLONIALIDADE E A MATRIZ PUNITIVA IBERO-AMERICANA,650
CEM0125,"HISTÓRIA E CINEMA: PERSPECTIVAS DOS FEMINISMOS NEGROS, DECOLONIAIS E INTERSECCIONAIS",650
CEM0132,EXPERIÊNCIAS HISTÓRICAS DE REFORMA AGRÁRIA NO MUNDO,650
CEM0133,MULHERES INSPIRADORAS: PERSPECTIVAS CRÍTICAS PARA A EDUCAÇÃO EM DIREITOS HUMANOS,650
CEM0134,EDUCAÇÃO E DESIGUALDADES SOCIAIS,650
CEM0136,A ORIGEM DA VIDA,650
CBH0002,BIOÉTICA E BIOTECNOCIÊNCIAS,1448
CBH0004,BIOÉTICA E SAÚDE PÚBLICA,1448
CER0002,TÓPICOS EM ESTUDOS DO CERRADO 2,677
DPG0052,TÓPICOS EM QUÍMICA ANALÍTICA 2,170
DPG0072,OBRAS SUBTERRÂNEAS,170
DPG0154,MECÂNICA DOS PAVIMENTOS,170
DPG0168,MODELAGEM DE SISTEMAS DE POTÊNCIA,170
DPG0227,INTRODUÇÃO À PROBABILIDADE E APLICAÇÕES,170
DPG0394,BARRAGENS,170
DPG0404,TEORIA DE GRUPOS APLICADA A FÍSICA,170
DPG0435,TRANSPORTE DE CONTAMINANTES E SEDIMENTOS,170
DPG0573,MÉTODOS INFERENCIAIS EM PSICOLOGIA,170
DPG0608,TEORIAS CONTEMPORÂNEAS DA TRADUÇÃO,170
DPG0641,MECÂNICA ESTATÍSTICA,170
DPG0648,MÉTODOS NUMERICOS EM GEOTECNIA,170
DPG0776,MECÂNICA DOS SOLOS NÃO SATURADOS,170
DPG0786,PROCESSOS ESTOCÁSTICOS,170
DPG0818,TEORIA DE GRUPOS FINITOS 1,170
DPG0907,TÓPICOS EM SISTEMAS DE POTÊNCIA 1,170
DPG1011,MEDIDA E INTEGRAÇÃO,170
DPG1031,GEOMETRIA DIFERENCIAL,170
DPG1100,TÓPICOS EM REDES DE COMUNICAÇÃO 2,170
DPG1142,TÓPICOS ESPECIAIS EM ESTATÍSTICA 1,170
DPG1239,TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA E CULTURA A,170
DPG1240,FÍSICA MOLECULAR 2,170
DPG1242,INTRODUÇÃO À MECÂNICA DO CONTATO ELÁSTICO,170
DPG1243,INTRODUÇÃO A MÉTODOS COMPUTACIONAIS EM EDO,170
DPG1244,DINÂMICA DAS ESTRUTURAS 2,170
DPG1245,INSTRUMENTAÇÃO DE CAMPO E LABORATÓRIO,170
DPG1246,PSICOLOGIA DO DESENVOLVIMENTO EM CONDIÇÕES ESPECIAIS,170
DPG1247,FISIOLOGIA PARA ENGENHARIA BIOMÉDICA,170
DPG1248,TECNOLOGIAS EM ENGENHARIA BIOMÉDICA,170
DPG1249,SEMINÁRIO DE PESQUISA EM DESENVOLVIMENTO HUMANO E PSICOLOGIA ESCOLAR,170
DPG1250,EQUAÇÕES DIFERENCIAIS ORDINÁRIAS 2,170
DPG1251,"LITERATURA, ARTES E MÍDIAS",170
DPG1252,TÓPICOS ESPECIAIS EM PSICOLOGIA CLÍNICA E CULTURA D,170
DPG1253,POLINÔMIOS E EQUAÇÕES ALGÉBRICAS,170
DEX1101,DARCY RIBEIRO: PENSAMENTO E FAZIMENTOS,158
DEX1108,CONSTRUÇÃO DE PROJETOS SOCIAIS MULTIDISCIPLINARES,158
DAP0001,BRANDING: UMA VISÃO PRÁTICA,351
DAP0008,ARGUMENTO E ROTEIRO,351
