turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
01,2022.2,TANIA CRISTINA DA SILVA CRUZ (30h),6T1234 (25/10/2022 - 18/02/2023),0,40,CDT - Sala Interação,CDT1101,643
01,2022.2,JONATHAS FELIPE AIRES FERREIRA (30h),6T1234 (25/10/2022 - 18/02/2023),0,40,CDT - Sala Interação,CDT1101,643
01,2022.2,LAURA ANGELICA FERREIRA DARNET (60h),35N34,0,30,BSA S BT 47/10,CDS0001,640
01,2022.2,MAURO GUILHERME MAIDANA CAPPELLARO (60h),35N34,0,40,BSA S B1 26/13,CDS0007,640
03,2022.2,CRISTIANE GOMES BARRETO (60h),36N12,0,50,"FT, Bloco D, sala DT 11/15",CDS0007,640
04,2022.2,STEPHANIE CAROLINE NASUTI (60h),5T2345,0,41,CDS - AUDITÓRIO CERRADO,CDS0007,640
01,2022.2,DORIS ALEIDA VILLAMIZAR SAYAGO (60h),35N34,0,40,BSA S B1 41/13,CDS0008,640
01,2022.2,JESSICA PEREIRA GARCIA (30h),6N34,0,30,BSA S B2 26/17,CDS0010,640
01,2022.2,FREDERIC ADELIN GEORGES MERTENS (60h),35N34,0,30,BSA S B2  41/10,CDS0011,640
01,2022.2,ANA KARINE PEREIRA (60h),6M1234,0,30,BSA S BT 41/10,CDS0012,640
01,2022.2,MAURICIO DE CARVALHO AMAZONAS (60h),35N12,0,30,BSA S BT 34/10,CDS0014,640
01,2022.2,SAULO RODRIGUES PEREIRA FILHO (60h),35T56,0,30,CDS - SALA COPAÍBA,CDS0015,640
01,2022.2,IZABEL CRISTINA BRUNO BACELLAR ZANETI (60h),24N34,0,30,BSA S B1 34/10,CDS0016,640
01,2022.2,MARIANA TOMAZIN (60h),4T2345,0,40,CET - Módulo B sala 2,CET0001,314
01,2022.2,LUIZ CARLOS SPILLER PENA (15h),2M34 (25/10/2022 - 18/02/2023),0,40,CET - Módulo C,CET0002,314
01,2022.2,AYLANA LAISSA MEDEIROS BORGES (30h),2M34 (25/10/2022 - 18/02/2023),0,40,CET - Módulo C,CET0002,314
01,2022.2,FAGNO TAVARES DE OLIVEIRA (15h),2M34 (25/10/2022 - 18/02/2023),0,40,CET - Módulo C,CET0002,314
01,2022.2,MARIANA TOMAZIN (60h),6M1234,0,40,CET - Módulo B sala 2,CET0005,314
01,2022.2,FAGNO TAVARES DE OLIVEIRA (30h),3M34,0,40,CET - Módulo C,CET0006,314
01,2022.2,MARUTSCHKA MARTINI MOESCH (30h),4M34,0,40,CET - Módulo E,CET0007,314
01,2022.2,CAROLINA MENEZES PALHARES (30h),5T2345,0,36,CET - Módulo B sala 2,CET0012,314
01,2022.2,ALESSANDRA SANTOS DOS SANTOS (30h),5T2345,0,36,CET - Módulo B sala 2,CET0012,314
01,2022.2,MARUTSCHKA MARTINI MOESCH (60h),3M1234,0,40,CET - Módulo E,CET0013,314
01,2022.2,FAGNO TAVARES DE OLIVEIRA (60h),4T2345,0,40,CET - Módulo B sala 3,CET0014,314
01,2022.2,MARIANA TOMAZIN (30h),3M34,0,30,CET - Módulo B sala 2,CET0015,314
02,2022.2,LUIZ CARLOS SPILLER PENA (30h),3T23,0,30,CET - Módulo B sala 3,CET0018,314
01,2022.2,JOAO PAULO FARIA TASSO (60h),3T2345,0,40,CET - Módulo E,CET0022,314
01,2022.2,NEUZA DE FARIAS ARAUJO (30h),6M34,0,40,CET - Módulo C,CET0036,314
01,2022.2,NEUZA DE FARIAS ARAUJO (30h),6M12,0,40,CET - Módulo C,CET0037,314
01,2022.2,THIAGO SEBASTIANO DE MELO (60h),4M1234,0,45,CET - Módulo D (sala de aula),CET0038,314
01,2022.2,JOAO PAULO FARIA TASSO (60h),5T2345,0,40,CET - Módulo E,CET0039,314
01,2022.2,FAGNO TAVARES DE OLIVEIRA (60h),6M1234,0,40,CET - Módulo D (sala de aula),CET0040,314
01,2022.2,ANGELA TEBERGA DE PAULA (60h),3M1234,0,41,CET - Módulo D (sala de aula),CET0041,314
01,2022.2,NEUZA DE FARIAS ARAUJO (60h),5T2345,0,40,CET - Módulo B sala 3,CET0042,314
01,2022.2,MARIANA TOMAZIN (60h),3T2345,0,40,CET - Módulo B sala 2,CET0043,314
01,2022.2,AYLANA LAISSA MEDEIROS BORGES (30h),6M1234,0,43,CET - Módulo E,CET0044,314
01,2022.2,ANA ROSA DOMINGUES DOS SANTOS (30h),6M1234,0,43,CET - Módulo E,CET0044,314
01,2022.2,ANA ROSA DOMINGUES DOS SANTOS (60h),6M1234,0,43,CET - Módulo E,CET0044,314
01,2022.2,LUIZ CARLOS SPILLER PENA (60h),4T2345,0,40,CET - Módulo E,CET0045,314
01,2022.2,EUZAMARA DE CARVALHO (15h),2M34,0,30,CET - Módulo E,CET0046,314
01,2022.2,THIAGO SEBASTIANO DE MELO (15h),2M34,0,30,CET - Módulo E,CET0046,314
01,2022.2,ANGELA TEBERGA DE PAULA (60h),2T2345,0,40,CET - Módulo E,CET0050,314
01,2022.2,THIAGO SEBASTIANO DE MELO (30h),2M12,0,40,CET - Módulo E,CET0051,314
01,2022.2,ANGELA TEBERGA DE PAULA (30h),4M34,0,40,CET - Módulo B sala 2,CET0052,314
01,2022.2,ANA ROSA DOMINGUES DOS SANTOS (60h),4M1234,0,40,CET - Módulo C,CET0053,314
01,2022.2,AYLANA LAISSA MEDEIROS BORGES (60h),4M1234,0,40,CET - Módulo C,CET0053,314
01,2022.2,ANA ROSA DOMINGUES DOS SANTOS (60h),5M1234,0,40,CET - Módulo C,CET0054,314
01,2022.2,THIAGO SEBASTIANO DE MELO (30h),3M12,0,40,CET - Módulo B sala 2,CET0055,314
01,2022.2,ANGELA TEBERGA DE PAULA (30h),4M12 (25/10/2022 - 18/02/2023),0,31,CET - Módulo B sala 2,CET0090,314
